family,specialization,compile_spec_hash,comparison_semantic_key,symbol_sha256,threads_per_cta,gpr_452,gpr_460,gpr_delta,r_set_452,r_set_460,r_count_452,r_count_460,r_count_delta,r_max_452,r_max_460,r_max_delta,ur_set_452,ur_set_460,ur_count_452,ur_count_460,ur_count_delta,ur_max_452,ur_max_460,ur_max_delta,p_set_452,p_set_460,p_count_452,p_count_460,p_count_delta,p_max_452,p_max_460,p_max_delta,up_set_452,up_set_460,up_count_452,up_count_460,up_count_delta,up_max_452,up_max_460,up_max_delta,effective_ceiling_452,effective_ceiling_460,effective_ceiling_delta,reconfig_452,reconfig_460,frame_bytes_452,frame_bytes_460,frame_bytes_delta,stack_bytes_452,stack_bytes_460,stack_bytes_delta,ldl_452,ldl_460,ldl_delta,stl_452,stl_460,stl_delta,local_452,local_460,dynamic_smem_bytes_452,dynamic_smem_bytes_460,dynamic_smem_bytes_delta,static_smem_bytes_452,static_smem_bytes_460,static_smem_bytes_delta,total_smem_bytes_452,total_smem_bytes_460,total_smem_bytes_delta,active_ctas_per_sm_452,active_ctas_per_sm_460,active_ctas_per_sm_delta,active_threads_per_sm_452,active_threads_per_sm_460,active_threads_per_sm_delta,sass_instructions_452,sass_instructions_460,sass_instructions_delta,code_bytes_452,code_bytes_460,code_bytes_delta,flags
diagnostic.attention.paged.raw.bf16_extend,,faae62078502b9ec50772d7307f597a76d4094c2c091dae8099dc405918e4fda,7e8b03e91b01afbcb5e764e5d3c901cc19e7030c0fb93df5bc986ab74efd56e8,787e4564dc11e38b69fd82af87e36e9c4871ec896e08d108bc8f6e510ce67752,128,255,255,0,0-252,0-178;180-252,253,252,-1,252,252,0,4-22;24-46;48-54;56-61;64-69;72-77,4-22;24-38;40-46;48-53;56-61;64-69;72-77,67,65,-2,77,77,0,0-6,0-6,7,7,0,6,6,0,0-1,0,2,1,-1,1,0,-1,255,255,0,D:|A:,D:|A:,0,0,0,0,0,0,0,0,0,0,0,0,false,false,99328,99328,0,0,0,0,99328,99328,0,1,1,0,128,128,0,3072,3112,40,49152,49792,640,reg-set-change;SASS-inst+;code+;ceiling-255
diagnostic.attention.paged.raw.fp8_decode,,9fdb9b2ed3e7271cc885284a9b29b92c0bcb5344e690a83b8ada9f27c114ee94,0fde8fbb41bbcce97382972349cd05a2fbd59103d343c4d079a913b249874422,cf594652c306f5c825bd5e17b262b0d3f414d7ffc743f6595faf14601f31f3f0,128,255,232,-23,0-216;218-236;238;240;242;244;246;248;250;252,0-210;212-229,244,229,-15,252,229,-23,4-14;16-22;24-30;32-37,4-30;32-37,31,33,2,37,37,0,0-6,0-6,7,7,0,6,6,0,0-1,0-2,2,3,1,1,2,1,255,232,-23,D:|A:,D:|A:,0,0,0,0,0,0,0,0,0,0,0,0,false,false,67584,67584,0,0,0,0,67584,67584,0,1,1,0,128,128,0,4032,4016,-16,64512,64256,-256,UR+;UP+;reg-set-change
diagnostic.attention.paged.raw.fp8_extend,,80999ffb082cab19ecb0208cf2bb8514a36a7e1e3f2724e8779544ba2f73798a,acff56e9c0b3b902128d2baaebda859d799247d86044244ed27c6974144b5288,8bbfdb8853c2b5ce92f8a0c6ef344790cded5947da694d2005570430817a43fd,64,255,254,-1,0-252,0-251,253,252,-1,252,251,-1,4-22;24-30;32-38;40-52,4-30;32-48;50-51,46,46,0,52,51,-1,0-6,0-6,7,7,0,6,6,0,0-1,0-2,2,3,1,1,2,1,255,254,-1,D:|A:,D:|A:,0,0,0,0,0,0,0,0,0,0,0,0,false,false,50176,50176,0,0,0,0,50176,50176,0,2,2,0,128,128,0,8672,8912,240,138752,142592,3840,UP+;reg-set-change;SASS-inst+;code+
diagnostic.attention.paged.raw.fp8_extend,,bb2048455d97e9b0e8a05e509c2072bbd15e6230609ea1c561027e5928cc72f0,dcd254118591374e848de65045c0a9d2dd3773ef2601f5a60f549a3bff2bc529,8bbfdb8853c2b5ce92f8a0c6ef344790cded5947da694d2005570430817a43fd,64,255,252,-3,0-252,0-249,253,250,-3,252,249,-3,4-14;16-22;24-30;32-52;54,4-30;32-50;52-53,47,48,1,54,53,-1,0-6,0-6,7,7,0,6,6,0,0-2,0-2,3,3,0,2,2,0,255,252,-3,D:|A:,D:|A:,0,0,0,0,0,0,0,0,0,0,0,0,false,false,50176,50176,0,0,0,0,50176,50176,0,2,2,0,128,128,0,8824,9112,288,141184,145792,4608,UR+;reg-set-change;SASS-inst+;code+
diagnostic.attention.paged.raw.fp8_extend,,b7ce766ad90572837b5fbc212ec4585e2d62dbacc5023f186f48ead348b75337,b893f6af7797d63339b017711a1654b6b954ba6520ba61ab63e0612a4a19189a,2fd7fb9c37791750fe4e8ed696296803352dbcaa58141475def943056da31b2a,96,248,248,0,0-234;236;238;240;242,0-236;238;240,239,239,0,242,240,-2,4-38;40;42;44-56;58,4-14;16-46;48-55,51,50,-1,58,55,-3,0-6,0-6,7,7,0,6,6,0,0-1,0-1,2,2,0,1,1,0,248,248,0,D:|A:248,D:|A:248,0,0,0,0,0,0,0,0,0,0,0,0,false,false,58368,58368,0,0,0,0,58368,58368,0,1,1,0,96,96,0,4952,4912,-40,79232,78592,-640,reg-set-change
diagnostic.attention.paged.raw.fp8_extend,,654d2c1ab7b500ae2e9fb94a79799c9b28930caca57acfe1f886bad708e1bd1c,7dd7c903bb591f49e11a23c93119d2d3547b493a88940ac4d7603a6b2ee34397,2fd7fb9c37791750fe4e8ed696296803352dbcaa58141475def943056da31b2a,96,248,248,0,0-235,0-236,236,237,1,235,236,1,4-42;44-52;54,4-48;50;52,49,47,-2,54,52,-2,0-6,0-6,7,7,0,6,6,0,0,0,1,1,0,0,0,0,248,248,0,D:|A:248,D:|A:248,0,0,0,0,0,0,0,0,0,0,0,0,false,false,58368,58368,0,0,0,0,58368,58368,0,1,1,0,96,96,0,5008,4960,-48,80128,79360,-768,R+;reg-set-change
diagnostic.paged.planewords,diagnostic.paged_fp8_planewords,f69ee4eeb34972a0f1984891eaefe8c354905b3a788f3d149aa9c84566cc6079,71b9b3446589c578e9f1a9cbc09797838eaf78c6c0ff030fd40fb96dd50cb365,c605d0417a2d2568e4255b2c3ce66824a63356f5e07f2470cc097c4623b73bdf,128,40,42,2,0-37,0-39,38,40,2,37,39,2,4-32,4-30,29,27,-2,32,30,-2,0-6,0-6,7,7,0,6,6,0,0-4,0-4,5,5,0,4,4,0,40,42,2,D:|A:,D:|A:,0,0,0,0,0,0,0,0,0,0,0,0,false,false,67584,67584,0,0,0,0,67584,67584,0,1,1,0,128,128,0,1000,1032,32,16000,16512,512,GPR+;R+;reg-set-change;SASS-inst+;code+
gemm.dense,gemm.dense,23b007fedc8c48cfbe86fabc93996c305e3142a66ac23730c216e316588857ba,8f6b03fc28f9686d6dbee4f1f0e2963e775fb78049694b960f6854f184ebea08,a8b94f3087593b42c941c81a3cdafac5e7dedac860e7f64a57414321a3215c6a,288,46,44,-2,0-25;28-30;32;34;36-43,0-26;28;32-41,39,38,-1,43,41,-2,4-20;22;24-32,4-24;26;28-32,27,27,0,32,32,0,0-2,0-2,3,3,0,2,2,0,0-1,0-1,2,2,0,1,1,0,46,44,-2,D:|A:,D:|A:,0,0,0,0,0,0,0,0,0,0,0,0,false,false,50176,50176,0,0,0,0,50176,50176,0,2,2,0,576,576,0,384,400,16,6144,6400,256,reg-set-change;SASS-inst+;code+
gemm.dense_fused_quant_a,gemm.dense.fused_quant,1e11604b95ff4b527fa84ec9c8615ff62bb36169ee5956e6671848148d54ea13,77b506eddd4deb10c71c7ccc7c9ff16962a57007771ebb84340f4b6cf7680a42,8fceebe788e719d8c919b43a2f9076fcc29cf87fb6ae24fbceaceee4e81d00b2,288,49,51,2,0-46,0-44;46;48,47,47,0,46,48,2,4;6-20;22,4-6;8-18;20;22,17,16,-1,22,22,0,0-1,0-1,2,2,0,1,1,0,0,0,1,1,0,0,0,0,49,51,2,D:|A:,D:|A:,0,0,0,0,0,0,0,0,0,0,0,0,false,false,78848,78848,0,0,0,0,78848,78848,0,1,1,0,288,288,0,648,656,8,10368,10496,128,GPR+;R+;reg-set-change;SASS-inst+;code+
gemm.dense_fused_quant_a_grouped,gemm.dense.grouped,55325c809bb30e4f47abf0bddff6a43a25f202c1dde4cd6738bb34ca4077560e,385e67918c665ac6554994e01867e369cef7bd9a8bb57613e7e0824f2e65d3a5,8fceebe788e719d8c919b43a2f9076fcc29cf87fb6ae24fbceaceee4e81d00b2,288,56,55,-1,0-53,0-46;48;50;52,54,50,-4,53,52,-1,4-24;26;28;30;32-37,4-24;26-28;30-32,30,27,-3,37,32,-5,0-1,0-1,2,2,0,1,1,0,0-1,0-1,2,2,0,1,1,0,56,55,-1,D:|A:,D:|A:,0,0,0,0,0,0,0,0,0,0,0,0,false,false,78848,78848,0,0,0,0,78848,78848,0,1,1,0,288,288,0,736,752,16,11776,12032,256,reg-set-change;SASS-inst+;code+
gemm.mxfp8_quant_cute,gemm.mxfp8_quant.m4,5165e3e8e1b46b9848b16b7e747a3b166fa5169908bae26889a1f85ee1968ea0,d05d59065385b623f6d074a03c02f3b90ee5370f85cf35a49065fa89851d70bd,f8d910f2b3c5b1842371789c483e3493abd20689d13a09dc7ddfecb4f7999ae5,256,48,48,0,0-45,0-45,46,46,0,45,45,0,4;6;8;10,4;6;8;10,4,4,0,10,10,0,0-2,0-2,3,3,0,2,2,0,,,0,0,0,-1,-1,0,48,48,0,D:|A:,D:|A:,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,0,5,5,0,1280,1280,0,240,240,0,3840,3840,0,
gemm.mxfp8_quant_cute,gemm.mxfp8_quant.m16,fa686a74d70cb769aa26bd683f7eb0b136262d1571e0d7b135138c3f63bf42e1,6bcd1ae7a36c1b3f5321b88a7ea8d7a8b6d7b9fb3efbf945f7037f517cb907bb,f8d910f2b3c5b1842371789c483e3493abd20689d13a09dc7ddfecb4f7999ae5,256,29,29,0,0-2;4;6-24;26,0-2;4;6-24;26,24,24,0,26,26,0,4;6;8;10-11,4;6;8;10-11,5,5,0,11,11,0,0-3,0-3,4,4,0,3,3,0,,,0,0,0,-1,-1,0,29,29,0,D:|A:,D:|A:,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,0,6,6,0,1536,1536,0,152,152,0,2432,2432,0,
gemm.wo_quant_cute,gemm.weight_only_projection.group_major,0984b2fdf4a2ca189cad361995740f2a3fe9465b8e13b075db4b6eff9800a44a,3381f6605e7a479c166827a32795c0b4544d568b7e39f845945e7e11ab344b85,f4219475e6d038e372e6447cd8250015667ac951a17b30f7cd4489b102d68f72,256,34,34,0,0-10;12;14-28;30-31,0-10;12;14-28;30-31,29,29,0,31,31,0,4-6;8,4-6;8,4,4,0,8,8,0,0-6,0-6,7,7,0,6,6,0,,,0,0,0,-1,-1,0,34,34,0,D:|A:,D:|A:,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,0,6,6,0,1536,1536,0,152,152,0,2432,2432,0,
gemm.wo_quant_cute,gemm.weight_only_projection.grouped,239372417825287588685873ede3f7515e00b6c5b0a9d6caab1e97d7987a5e03,49e61edeec42254ead891ff0dd85462b601f8e756941114da57b8295d748731b,f4219475e6d038e372e6447cd8250015667ac951a17b30f7cd4489b102d68f72,256,36,36,0,0-8;10-20;22-33,0-8;10-20;22-33,32,32,0,33,33,0,4-8,4-8,5,5,0,8,8,0,0-4,0-4,5,5,0,4,4,0,0,0,1,1,0,0,0,0,36,36,0,D:|A:,D:|A:,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,0,6,6,0,1536,1536,0,168,168,0,2688,2688,0,
gemm.wo_quant_cute,gemm.weight_only_projection.inv_rope_bf16,a63f1a924cedf972d6c979cde1d0b973c9cba7ada8d31a2f2d1913f8ee5acf71,26ffb5d769adf7bc9902f94d35863a11b06b5fbe1423d4dfd67f7b32a1a51899,f4219475e6d038e372e6447cd8250015667ac951a17b30f7cd4489b102d68f72,256,40,40,0,0-20;22-24;26-37,0-20;22-24;26-37,36,36,0,37,37,0,4-9,4-9,6,6,0,9,9,0,0-4,0-4,5,5,0,4,4,0,0,0,1,1,0,0,0,0,40,40,0,D:|A:,D:|A:,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,0,6,6,0,1536,1536,0,192,192,0,3072,3072,0,
gemm.wo_quant_cute,gemm.weight_only_projection.inv_rope_fp32,ae36e36493276c5e9c0630937361fa92c0045d44c784465f7517fe265026c279,705b253754390e0a9bdd0adc46b3c6b8b4c1c00247d1be5a3df06f3b84e7c14f,20ee1e2a59b41eadd089ca055aa3fd560b8a2f6edf5ade38efac957d558b2026,256,40,40,0,0-20;22;24-37,0-20;22;24-37,36,36,0,37,37,0,4-9,4-9,6,6,0,9,9,0,0-4,0-4,5,5,0,4,4,0,0,0,1,1,0,0,0,0,40,40,0,D:|A:,D:|A:,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,0,6,6,0,1536,1536,0,192,192,0,3072,3072,0,
integration.residual.mhc_finalize_gram_hidden4096,residual.h4096.decode.fused|residual.h4096.decode.pre,f15b8847199f28fb40ae18ba7cf57a27426f4823edec28acfaf96c4b8d98bb27,68f93efd5d8d98cd9c60ab40a17fe409087b494d5b2223aea80f5416ab00b8f5,22f781182d16ddcfb2e376dc635addf19fc680825f4a48a6c326666c4af5ea1d,1024,64,64,0,0-57;59;61,0-61,60,62,2,61,61,0,4-12;14-15,4-12;14;16-17,11,12,1,15,17,2,0-2,0-3,3,4,1,2,3,1,0,0,1,1,0,0,0,0,64,64,0,D:|A:,D:|A:,0,0,0,0,0,0,0,0,0,0,0,0,false,false,4192,4192,0,0,0,0,4192,4192,0,1,1,0,1024,1024,0,2424,2416,-8,38784,38656,-128,R+;UR+;P+;reg-set-change
integration.residual.mhc_finalize_gram_hidden4096,residual.h4096.decode.split,02eeb949ae299cd1642796744d4b27f68367b42595f186da9584b57d562b6589,cc5e2be4c1e8730ae56b3eb9d1cee29e23beec77fadc91ef0fa219f398e82824,22f781182d16ddcfb2e376dc635addf19fc680825f4a48a6c326666c4af5ea1d,1024,64,64,0,0-57;59;61,0-61,60,62,2,61,61,0,4-10;12;14-15,4-12;14;16-17,10,12,2,15,17,2,0-3,0-4,4,5,1,3,4,1,0,0,1,1,0,0,0,0,64,64,0,D:|A:,D:|A:,0,0,0,0,0,0,0,0,0,0,0,0,false,false,4192,4192,0,0,0,0,4192,4192,0,1,1,0,1024,1024,0,2768,2760,-8,44288,44160,-128,R+;UR+;P+;reg-set-change
integration.residual.mhc_finalize_gram_hidden4096_compact,residual.h4096.prefill.compact|residual.h4096.prefill.block|residual.h4096.prefill.bf16_tma|residual.h4096.prefill.bf16_vector|residual.h4096.prefill.tf32_tma,e11561fdc72b927b38e76cd1c6ca4a76ce08fd1549bd41f0f4d2b79452c46f86,5594ab7fc1913392e3990c7e1ac61616854236edec65465a75abeb296d617f7b,22f781182d16ddcfb2e376dc635addf19fc680825f4a48a6c326666c4af5ea1d,256,48,48,0,0-45,0-45,46,46,0,45,45,0,4-14,4-16,11,13,2,14,16,2,0-2,0-2,3,3,0,2,2,0,0-1,0-1,2,2,0,1,1,0,48,48,0,D:|A:,D:|A:,0,0,0,0,0,0,0,0,0,0,0,0,false,false,1120,1120,0,0,0,0,1120,1120,0,5,5,0,1280,1280,0,2360,2352,-8,37760,37632,-128,UR+;reg-set-change
integration.residual.mhc_finalize_gram_hidden7168,residual.h7168.decode.fused|residual.h7168.decode.pre,1c29d557710fa4c91132c554d7b11fc602af9e74a09a40cc1c7c48e47a726e40,9571072b2f19bf98a77296eafec48b3f8d1dbc001920c6549c699c863388fa5b,22f781182d16ddcfb2e376dc635addf19fc680825f4a48a6c326666c4af5ea1d,1024,64,64,0,0-61,0-61,62,62,0,61,61,0,4-10;12;14-15,4-12;14;16-17,10,12,2,15,17,2,0-3,0-3,4,4,0,3,3,0,0,0,1,1,0,0,0,0,64,64,0,D:|A:,D:|A:,8,0,-8,8,0,-8,1,0,-1,1,0,-1,true,false,4192,4192,0,0,0,0,4192,4192,0,1,1,0,1024,1024,0,2904,2880,-24,46464,46080,-384,UR+;reg-set-change
integration.residual.mhc_finalize_gram_hidden7168,residual.h7168.decode.split,d37d63e01146a137ce3c399ea554f8cf5cfb01b094d12fc21e18435f42263d6c,2193bdc053b952f4cffb05538cd41e3bd1e6db03997b033c0aff71bbeb47e31b,22f781182d16ddcfb2e376dc635addf19fc680825f4a48a6c326666c4af5ea1d,1024,64,64,0,0-57;59;61,0-61,60,62,2,61,61,0,4-10;12;14-15,4-12;14;16-17,10,12,2,15,17,2,0-3,0-4,4,5,1,3,4,1,0,0,1,1,0,0,0,0,64,64,0,D:|A:,D:|A:,0,0,0,0,0,0,0,0,0,0,0,0,false,false,4192,4192,0,0,0,0,4192,4192,0,1,1,0,1024,1024,0,2800,2792,-8,44800,44672,-128,R+;UR+;P+;reg-set-change
integration.residual.mhc_finalize_gram_hidden7168_compact,residual.h7168.prefill.compact|residual.h7168.prefill.block|residual.h7168.prefill.bf16_tma|residual.h7168.prefill.bf16_vector|residual.h7168.prefill.tf32_tma,0637890579875d27652828678921f6e1738008cd1c08aac9795ac4c5931f8df1,14d1c23c25b5ac086502094546ea154bbdb6834558a96341eb39a60ca5da950c,22f781182d16ddcfb2e376dc635addf19fc680825f4a48a6c326666c4af5ea1d,256,48,48,0,0-45,0-45,46,46,0,45,45,0,4-14,4-16,11,13,2,14,16,2,0-2,0-2,3,3,0,2,2,0,0-1,0-1,2,2,0,1,1,0,48,48,0,D:|A:,D:|A:,0,0,0,0,0,0,0,0,0,0,0,0,false,false,1120,1120,0,0,0,0,1120,1120,0,5,5,0,1280,1280,0,2624,2624,0,41984,41984,0,UR+;reg-set-change
integration.residual.mhc_post_hidden4096_hctile128_all4,residual.h4096.decode.post,d17f51f49c0cf189600bc2b63d035678d5c4a1ef790a0fd76f7d29b3ac560323,4f41e4d6feff2542cbcc6c63e303ef0b5e6f0ec549f625201f9c431f502fc90d,0c637bf56602af386bddecb552669db20145d053c94a06d48036806f9b2a85f9,128,40,40,0,0-34;36,0-34;36,36,36,0,36,36,0,4-14;16-20;22-23,4-14;16-20;22-23,18,18,0,23,23,0,0-1,0-1,2,2,0,1,1,0,0-1,0-1,2,2,0,1,1,0,40,40,0,D:|A:,D:|A:,0,0,0,0,0,0,0,0,0,0,0,0,false,false,64,64,0,0,0,0,64,64,0,12,12,0,1536,1536,0,128,128,0,2048,2048,0,
integration.residual.mhc_post_hidden7168_hctile128_all4,residual.h7168.decode.post,95994e17a7dc012f7074fd2ca186fdb38b592c5644deeea7092e1f48d4c5d597,80406649fff192290eac6c40b2970e730d33f049150d1f3960c3cabe046e0593,0c637bf56602af386bddecb552669db20145d053c94a06d48036806f9b2a85f9,128,40,40,0,0-34;36,0-34;36,36,36,0,36,36,0,4-14;16-20;22-23,4-14;16-20;22-23,18,18,0,23,23,0,0-1,0-1,2,2,0,1,1,0,0-1,0-1,2,2,0,1,1,0,40,40,0,D:|A:,D:|A:,0,0,0,0,0,0,0,0,0,0,0,0,false,false,64,64,0,0,0,0,64,64,0,12,12,0,1536,1536,0,128,128,0,2048,2048,0,
integration.residual.mhc_post_pre_decode_split_n_hidden4096_s4n6x1,residual.h4096.decode.split,18d36e770f1df35c53e3771bedd2e2c128486ab757ddb8a2471f7c2ee60a73df,e3e2ddd6e9b03efea636518b0f9b94960059ff785791d08d25a6315d984c3572,353746266dd602bb2af7e35ecf814e78cf2385e461baba7e6829087529351b57,256,80,80,0,0-48;50;52-54;56-77,0-56;58;60-77,75,76,1,77,77,0,4-12;14-24;26-29,4-14;16-29,24,25,1,29,29,0,0-2,0-3,3,4,1,2,3,1,,0,0,1,1,-1,0,1,80,80,0,D:|A:,D:|A:,0,0,0,0,0,0,0,0,0,0,0,0,false,false,624,624,0,0,0,0,624,624,0,3,3,0,768,768,0,936,912,-24,14976,14592,-384,R+;UR+;P+;UP+;reg-set-change
integration.residual.mhc_post_pre_decode_split_n_hidden7168_s4n6x1,residual.h7168.decode.split,a7804e8293a48176bfe4921df579154e5a360adce9b03f2bab2939fefa647308,cf8d7b1b678c396a55185cdee60021d39e19a08f3a938cfb696ffec28ec8dc44,353746266dd602bb2af7e35ecf814e78cf2385e461baba7e6829087529351b57,256,80,80,0,0-56;58-77,0-56;58-77,77,77,0,77,77,0,4-8;10-18;20-29,4-8;10-24;26-29,24,24,0,29,29,0,0-4,0-4,5,5,0,4,4,0,,,0,0,0,-1,-1,0,80,80,0,D:|A:,D:|A:,0,0,0,0,0,0,0,0,0,0,0,0,false,false,624,624,0,0,0,0,624,624,0,3,3,0,768,768,0,1312,1296,-16,20992,20736,-256,reg-set-change
integration.residual.mhc_post_pre_partial_hidden4096_hctile128_all4,residual.h4096.decode.fused,3a0e4305f75acf2b7c490b5f154a7c8d4a63dd119983151e2efce570bec40ecc,95d8403724ed4771e5132197a31705bf7cee4854972c15da907d97e183fff594,0c637bf56602af386bddecb552669db20145d053c94a06d48036806f9b2a85f9,128,40,40,0,0-37,0-37,38,38,0,37,37,0,4-18;20-25,4-18;20-25,21,21,0,25,25,0,0-2,0-2,3,3,0,2,2,0,0,0,1,1,0,0,0,0,40,40,0,D:|A:,D:|A:,0,0,0,0,0,0,0,0,0,0,0,0,false,false,224,224,0,0,0,0,224,224,0,12,12,0,1536,1536,0,536,536,0,8576,8576,0,
integration.residual.mhc_post_pre_partial_hidden7168_hctile128_all4,residual.h7168.decode.fused,fb731c79c2ff82939257277ae0e5b12d621db0318e1e1c77ad4bbc398ca21594,d22182b8f6ed3b906b8307717392c082333d842aad5ab86653fcef47df426878,0c637bf56602af386bddecb552669db20145d053c94a06d48036806f9b2a85f9,128,40,40,0,0-37,0-37,38,38,0,37,37,0,4-18;20-25,4-18;20-25,21,21,0,25,25,0,0-2,0-2,3,3,0,2,2,0,0,0,1,1,0,0,0,0,40,40,0,D:|A:,D:|A:,0,0,0,0,0,0,0,0,0,0,0,0,false,false,224,224,0,0,0,0,224,224,0,12,12,0,1536,1536,0,536,536,0,8576,8576,0,
integration.residual.mhc_post_pre_prefill_block_m_partial_hidden4096_threads512_m2_n24,residual.h4096.prefill.block,a55c52ff4de18eb8b670abc19a67b22cbfe8b54a4f9c6fa407a3886748fa16b7,faf04138fff69d926908327ec2a7a08b16f4eaaee9a799f7bf701d5101275767,471221b9a1ac79b436ab0e723f99d04992709496f6faada181e7a0f46de9da5d,512,110,110,0,0-107,0-103;105;107,108,106,-2,107,107,0,4-18;20-33,4-16;18-29,29,25,-4,33,29,-4,0-4,0-4,5,5,0,4,4,0,0-1,0,2,1,-1,1,0,-1,110,110,0,D:|A:,D:|A:,0,0,0,0,0,0,0,0,0,0,0,0,false,false,4480,4480,0,0,0,0,4480,4480,0,1,1,0,512,512,0,7096,6944,-152,113536,111104,-2432,reg-set-change
